,observed_type,count,mean,std,min,q1,median,q3,max,mode,missing,unique,zero_fraction,iqr,skew,max_abs_z,iqr_outliers,corr_Label,mean_label_0,median_label_0,mean_label_1,median_label_1
fr_methoxy,integer,597,0.214405,0.658649,0,0,0,0,8,0,0,6,0.855946,0,5.43111,11.8205,86,-0.063261,0.238307,0,0.141892,0
fr_morpholine,binary_0_1,597,0.0117253,0.107737,0,0,0,0,1,0,0,2,0.988275,0,9.09467,9.17303,7,-0.0625361,0.0155902,0,0,0
fr_nitrile,integer,597,0.041876,0.231544,0,0,0,0,2,0,0,3,0.964824,0,6.09485,8.45681,21,0.0134536,0.0400891,0,0.0472973,0
fr_nitro,integer,597,0.0301508,0.180683,0,0,0,0,2,0,0,3,0.971524,0,6.34268,10.9022,17,-0.00993406,0.0311804,0,0.027027,0
fr_nitro_arom,integer,597,0.0184255,0.146533,0,0,0,0,2,0,0,3,0.98325,0,8.71552,13.523,10,0.00723414,0.0178174,0,0.0202703,0
fr_nitro_arom_nonortho,binary_0_1,597,0.0100503,0.0998295,0,0,0,0,1,0,0,2,0.98995,0,9.84872,9.9164,6,-0.018957,0.0111359,0,0.00675676,0
fr_nitroso,binary_0_1,597,0.00335008,0.0578313,0,0,0,0,1,0,0,2,0.99665,0,17.2335,17.2337,2,-0.0332862,0.00445434,0,0,0
fr_oxazole,binary_0_1,597,0.00167504,0.0409273,0,0,0,0,1,0,0,2,0.998325,0,24.4336,24.3927,1,-0.0235171,0.00222717,0,0,0
fr_oxime,binary_0_1,597,0.00837521,0.0912086,0,0,0,0,1,0,0,2,0.991625,0,10.8165,10.8721,5,-0.0101961,0.00890869,0,0.00675676,0
fr_para_hydroxylation,integer,597,0.154104,0.433153,0,0,0,0,3,0,0,4,0.872697,0,3.02686,6.57019,76,0.127213,0.122494,0,0.25,0
fr_phenol,integer,597,0.128978,0.43556,0,0,0,0,4,0,0,5,0.902848,0,4.07408,8.88746,58,0.02595,0.122494,0,0.148649,0
fr_phenol_noOrthoHbond,integer,597,0.118928,0.42678,0,0,0,0,4,0,0,5,0.912898,0,4.31548,9.09385,52,0.0127238,0.115813,0,0.128378,0
fr_phos_acid,integer,597,0.0167504,0.140901,0,0,0,0,2,0,0,3,0.984925,0,9.26958,14.0755,9,-0.0132004,0.0178174,0,0.0135135,0
fr_phos_ester,integer,597,0.0134003,0.128836,0,0,0,0,2,0,0,3,0.988275,0,10.707,15.4196,7,0.000504777,0.013363,0,0.0135135,0
fr_piperdine,integer,597,0.137353,0.450088,0,0,0,0,4,0,0,5,0.889447,0,4.44426,8.58199,66,-0.0977188,0.162584,0,0.0608108,0
fr_piperzine,integer,597,0.041876,0.208676,0,0,0,0,2,0,0,3,0.959799,0,5.13109,9.38358,24,0.0521387,0.0356347,0,0.0608108,0
fr_priamide,integer,597,0.0485762,0.222822,0,0,0,0,2,0,0,3,0.953099,0,4.65939,8.75775,28,0.170943,0.0267261,0,0.114865,0
fr_prisulfonamd,constant,597,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,0,0,0,0
fr_pyridine,integer,597,0.0988275,0.330672,0,0,0,0,2,0,0,3,0.911223,0,3.49679,5.74941,53,0.0161269,0.0957684,0,0.108108,0
fr_quatN,integer,597,0.0368509,0.205582,0,0,0,0,2,0,0,3,0.966499,0,6.04238,9.54923,20,-0.0463435,0.0423163,0,0.0202703,0
fr_sulfide,integer,597,0.0586265,0.255635,0,0,0,0,2,0,0,3,0.946399,0,4.63861,7.59433,32,-0.0254654,0.0623608,0,0.0472973,0
fr_sulfonamd,integer,597,0.041876,0.22418,0,0,0,0,2,0,0,3,0.963149,0,5.85637,8.73459,22,0.0658512,0.0334076,0,0.0675676,0
fr_sulfone,binary_0_1,597,0.0134003,0.115078,0,0,0,0,1,0,0,2,0.9866,0,8.48529,8.57331,8,0.000565123,0.013363,0,0.0135135,0
fr_term_acetylene,binary_0_1,597,0.00837521,0.0912086,0,0,0,0,1,0,0,2,0.991625,0,10.8165,10.8721,5,-0.0527633,0.0111359,0,0,0
fr_tetrazole,binary_0_1,597,0.0117253,0.107737,0,0,0,0,1,0,0,2,0.988275,0,9.09467,9.17303,7,-0.0625361,0.0155902,0,0,0
fr_thiazole,integer,597,0.0268007,0.171703,0,0,0,0,2,0,0,3,0.974874,0,6.84281,11.4919,15,-0.0218542,0.0289532,0,0.0202703,0
fr_thiocyan,constant,597,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,0,0,0,0
fr_thiophene,integer,597,0.0284757,0.185533,0,0,0,0,2,0,0,3,0.974874,0,7.17876,10.6262,15,-0.0254127,0.0311804,0,0.0202703,0
fr_unbrch_alkane,integer,597,0.333333,1.35153,0,0,0,0,18,0,0,11,0.877722,0,7.02946,13.0716,73,-0.0469203,0.36971,0,0.222973,0
fr_urea,binary_0_1,597,0.0251256,0.156638,0,0,0,0,1,0,0,2,0.974874,0,6.08372,6.22375,15,0.0813342,0.0178174,0,0.0472973,0
